  temptable_boundary bulk_cool
! HEADER: 
!  This is the initial fuel temperature table 
!  The goal of this table is to provide fuel temperatures as a function of power 
!  an burnup as follows: 
!    Tfuel = Tmod + a * P  + b * P^2  where a and b are functions of burnup and P is the linear heat flux 
! 
!  The structure of this file is very basic.  A header will give the number of burnup points and the linear 
!  heat rate used to generate the file.  (this is so the data can be fit using normalized powers, if actual 
!  linear heat rates are used in the computation of a and b, enter 1.0 for the LHR. 
!  The header is followed by a list of a and b for each burnup point (in GWD/MT) 
! 
!                    LHR (W/cm) 
  temptable_qprime     0.974
!  list of temperature coefficients 
!  Bu (GWD/MT)    a (K)        b (K)
  temptable_polynomial
     37.40     1.36477163    0.00098620
     37.50     1.36548952    0.00099016
     37.60     1.36622285    0.00099407
     37.70     1.36697824    0.00099786
     37.80     1.36774713    0.00100156
     37.90     1.36853115    0.00100522
     38.00     1.36935096    0.00100873
     38.10     1.36973439    0.00101519
     38.20     1.36921323    0.00102789
     38.30     1.36871598    0.00104052
     38.40     1.36822287    0.00105309
     38.50     1.36837238    0.00106126
     38.60     1.36877845    0.00106706
     38.70     1.36926538    0.00107286
     38.80     1.36982840    0.00107867
     38.90     1.37072262    0.00108215
     39.00     1.37180732    0.00108450
     39.10     1.37291006    0.00108680
     39.20     1.37402759    0.00108905
     39.30     1.37518091    0.00109111
     39.40     1.37633767    0.00109318
     39.50     1.37749555    0.00109527
     39.60     1.37864110    0.00109740
     39.70     1.37942051    0.00110090
     39.80     1.37985126    0.00110532
     39.90     1.37978048    0.00111127
     40.00     1.37969195    0.00111741
     40.10     1.37946770    0.00112413
     40.20     1.37918259    0.00113101
     40.30     1.37879164    0.00113811
     40.40     1.37823208    0.00114626
     40.50     1.37718739    0.00115637
     40.60     1.37601467    0.00116687
     40.70     1.37498026    0.00117681
     40.80     1.37404408    0.00118653
     40.90     1.37311324    0.00119625
     41.00     1.37219037    0.00120594
     41.10     1.37132177    0.00121536
     41.20     1.37048334    0.00122465
     41.30     1.36963627    0.00123394
     41.40     1.36879003    0.00124320
     41.50     1.36797429    0.00125228
     41.60     1.36716457    0.00126128
     41.70     1.36635929    0.00127025
     41.80     1.36553985    0.00127918
     41.90     1.36474491    0.00128801
     42.00     1.36394620    0.00129678
     42.10     1.36314729    0.00130560
     42.20     1.36232193    0.00131450
     42.30     1.36138344    0.00132424
     42.40     1.36057412    0.00133461
     42.50     1.36004072    0.00134544
     42.60     1.35968046    0.00135569
     42.70     1.35941594    0.00136591
     42.80     1.36012010    0.00137530
     42.90     1.36159721    0.00138216
     43.00     1.36312358    0.00138885
     43.10     1.36418020    0.00139431
     43.20     1.36489630    0.00139902
     43.30     1.36560262    0.00140370
     43.40     1.36596532    0.00140947
     43.50     1.36611784    0.00141586
     43.60     1.36600155    0.00142308
     43.70     1.36571594    0.00143074
     43.80     1.36541342    0.00143852
     43.90     1.36495119    0.00144684
     44.00     1.36440859    0.00145537
     44.10     1.36399617    0.00146366
     44.20     1.36370768    0.00147185
     44.30     1.36371338    0.00147912
     44.40     1.36384271    0.00148601
