  temptable_boundary bulk_cool
! HEADER: 
!  This is the initial fuel temperature table 
!  The goal of this table is to provide fuel temperatures as a function of power 
!  an burnup as follows: 
!    Tfuel = Tmod + a * P  + b * P^2  where a and b are functions of burnup and P is the linear heat flux 
! 
!  The structure of this file is very basic.  A header will give the number of burnup points and the linear 
!  heat rate used to generate the file.  (this is so the data can be fit using normalized powers, if actual 
!  linear heat rates are used in the computation of a and b, enter 1.0 for the LHR. 
!  The header is followed by a list of a and b for each burnup point (in GWD/MT) 
! 
!                    LHR (W/cm) 
  temptable_qprime     1.000
!  list of temperature coefficients 
!  Bu (GWD/MT)    a (K)        b (K)
  temptable_polynomial
     36.00     1.43606215    0.00095313
     36.10     1.43578585    0.00096145
     36.20     1.43550835    0.00096977
     36.30     1.43522890    0.00097809
     36.40     1.43495075    0.00098639
     36.50     1.43470175    0.00099453
     36.60     1.43445310    0.00100266
     36.70     1.43420214    0.00101078
     36.80     1.43394825    0.00101892
     36.90     1.43370442    0.00102700
     37.00     1.43345885    0.00103508
     37.10     1.43321262    0.00104315
     37.20     1.43296409    0.00105123
     37.30     1.43271895    0.00105928
     37.40     1.43247064    0.00106735
     37.50     1.43221665    0.00107543
     37.60     1.43196247    0.00108352
     37.70     1.43170178    0.00109163
     37.80     1.43143612    0.00109975
     37.90     1.43116957    0.00110788
     38.00     1.43089835    0.00111601
     38.10     1.43057109    0.00112446
     38.20     1.43007610    0.00113381
     38.30     1.42958202    0.00114316
     38.40     1.42908725    0.00115251
     38.50     1.42861128    0.00116172
     38.60     1.42790011    0.00117208
     38.70     1.42718857    0.00118246
     38.80     1.42647966    0.00119283
     38.90     1.42577581    0.00120316
     39.00     1.42509187    0.00121338
     39.10     1.42442298    0.00122359
     39.20     1.42374995    0.00123382
     39.30     1.42308029    0.00124400
     39.40     1.42242620    0.00125411
     39.50     1.42178154    0.00126417
     39.60     1.42113681    0.00127422
     39.70     1.42049222    0.00128424
     39.80     1.41985709    0.00129421
     39.90     1.41924057    0.00130408
     40.00     1.41862382    0.00131394
     40.10     1.41800409    0.00132378
     40.20     1.41738698    0.00133359
     40.30     1.41680485    0.00134323
     40.40     1.41622354    0.00135284
     40.50     1.41563961    0.00136244
     40.60     1.41505354    0.00137205
     40.70     1.41449295    0.00138152
     40.80     1.41393481    0.00139095
     40.90     1.41337750    0.00140038
     41.00     1.41281593    0.00140981
     41.10     1.41228455    0.00141909
     41.20     1.41175891    0.00142835
     41.30     1.41122961    0.00143761
     41.40     1.41069512    0.00144690
     41.50     1.41017859    0.00145609
     41.60     1.40966990    0.00146525
     41.70     1.40916097    0.00147442
     41.80     1.40864702    0.00148361
     41.90     1.40813419    0.00149280
     42.00     1.40764348    0.00150189
     42.10     1.40715034    0.00151099
     42.20     1.40665983    0.00152009
     42.30     1.40606573    0.00152992
     42.40     1.40542524    0.00154019
     42.50     1.40478584    0.00155047
     42.60     1.40414235    0.00156078
     42.70     1.40343314    0.00157153
     42.80     1.40275730    0.00158223
     42.90     1.40209624    0.00159286
     43.00     1.40143399    0.00160349
     43.10     1.40075908    0.00161410
     43.20     1.40010582    0.00162455
     43.30     1.39946959    0.00163491
     43.40     1.39882863    0.00164528
     43.50     1.39818921    0.00165567
     43.60     1.39756912    0.00166595
     43.70     1.39698259    0.00167606
     43.80     1.39640019    0.00168619
     43.90     1.39581972    0.00169632
     44.00     1.39524337    0.00170642
     44.10     1.39474561    0.00171634
     44.20     1.39428708    0.00172630
